"","YEAR","PIB","ImportBS","DepCF","DepCF_Men","DepCF_Pub","FBCF","FBCF_EntInd","FBCF_AdmPub","FBCF_Men","ExportBS","DemandeHS"
"1","1950","293.39999999999998","15.5","236.8","158.9","71.5","50.8","27.4","9.1","12.5","18.1","285.89999999999998"
"2","1951","310.39999999999998","18.4","253.3","170.3","75.9","55.7","29.2","9","16.4","20.3","307.3"
"3","1952","320","19","265.8","177.8","81","56.2","27","10.9","18.9","19.6","320"
"4","1953","331.1","19","278","186.5","83.9","58.8","27.7","11.9","20","19.4","334.7"
"5","1954","349.6","19.8","286.39999999999998","193.9","83.9","64.1","28.7","13.5","24","21","349"
"6","1955","368.1","21.1","300.3","204.3","86.5","70.9","31.2","15","27.6","21.9","370.2"
"7","1956","386.5","25","321.2","218.5","92.6","76.3","34.4","16.7","27.8","21.6","396.5"
"8","1957","407.8","27.2","335.1","228.9","95.1","83.8","37.9","18.5","30.2","23.5","418.3"
"9","1958","418.8","26.1","335.1","229.6","94.2","88","39.6","19","32.1","23.9","423.2"
"10","1959","430","26.1","342.1","234.8","95.7","92","41.2","21.4","32.1","26.9","434.5"
"11","1960","464.3","29.8","357.2","246.5","97.9","98.2","44.6","22.7","33.4","31.7","456"
"12","1961","487.5","32","377.8","260.8","104","109.6","50","25.1","37.1","33.4","488.6"
"13","1962","520.79999999999995","34.3","405","280.10000000000002","111.2","116.9","53.2","28.4","38","33.7","523"
"14","1963","553.29999999999995","38.7","432.1","300.3","117.4","126.8","56.9","31.2","42.2","36.6","560.29999999999995"
"15","1964","590.1","44.6","456.3","316.8","124.6","139.8","61.4","35.7","47.3","39.6","598.20000000000005"
"16","1965","618.79999999999995","45.8","474.8","329.1","130.5","147.8","62.5","38.9","52.7","43.9","624.79999999999995"
"17","1966","651.29999999999995","51","496.9","344.9","136.6","159.1","67.5","40","58.3","46.9","658.7"
"18","1967","683.3","56","521.5","362.1","144","171.1","72.5","43.3","62.8","50.4","695.8"
"19","1968","714","62.7","543.70000000000005","377.7","150.3","180.7","77.5","42","68.7","55.7","728"
"20","1969","764.8","75.5","578.20000000000005","402.1","159.5","194.8","86.1","43.1","72.9","64.3","776.8"
"21","1970","811.5","81","605.6","420.3","167.9","205.1","89.4","45.2","78.5","74.7","814.7"
"22","1971","854.7","86.9","640.5","443.8","178.5","219.2","97.3","45.9","84.1","81.9","863.9"
"23","1972","893.2","99.7","672.3","466.8","186.8","232.4","103.5","46.3","90.4","90.9","908.9"
"24","1973","949.9","114.6","711.5","493.2","199","248.5","110","47.6","98.9","102.2","964.6"
"25","1974","990.7","120.9","734.9","507.2","208.7","254.5","110.4","48.5","104.4","114","993.9"
"26","1975","981.2","110.2","755.9","517.5","220.3","242","102","52","96.8","110.4","1001.1"
"27","1976","1024.0","130.7","794.4","546.29999999999995","229.2","247.4","106.4","53","96.5","119.8","1044.5999999999999"
"28","1977","1059.5","133","815.9","560.5","236.4","245.7","107.6","49.2","96.1","129.2","1063.9"
"29","1978","1101.6","138.9","853.2","582.5","251.6","252.6","109.6","48.3","102.9","137.7","1107.8"
"30","1979","1140.7","151.2","882.1","602.29999999999995","260.1","260.2","113.1","49.1","105.8","147","1144.2"
"31","1980","1158.7","158.9","897.3","609.4","268.3","268.1","120","49.1","106.3","151","1167.7"
"32","1981","1171.1","156.7","917.3","621.79999999999995","276.1","265.6","118.7","50.4","102.8","158.4","1184.7"
"33","1982","1200.5","162.3","950.1","642.4","288.1","263.2","120.1","51.8","96.1","156.6","1214.7"
"34","1983","1215.3","157.9","962.7","647.70000000000005","295.6","255.2","116.5","50.1","92.5","164","1218.9"
