"","X","I2015_NSA_IS.IP_F","I2015_NSA_IS.IP_F_CC1","I2015_NSA_IS.IP_F_CC2","I2015_NSA_IS.PEI_F_CC1","I2015_NSA_IS.PEI_F_CC11","I2015_NSA_IS.PEI_F_CC11_X_CC113","I2015_SCA_IS.IP_F","I2015_SCA_IS.IP_F_CC1","I2015_SCA_IS.IP_F_CC2","I2015_SCA_IS.PEI_F_CC1","I2015_SCA_IS.PEI_F_CC11","I2015_SCA_IS.PEI_F_CC11_X_CC113","YEAR","MONTH","RT1.SCA_F_IS.IP","RT1.SCA_F_CC1_IS.IP","RT1.SCA_F_CC1_IS.PEI","RT1.SCA_F_CC11_IS.PEI","RT1.SCA_F_CC11_X_CC113_IS.PEI","RT1.SCA_F_CC2_IS.IP","RT12.CA_F_IS.IP","RT12.CA_F_CC1_IS.IP","RT12.CA_F_CC2_IS.IP","RT12.NSA_F_CC1_IS.PEI","RT12.NSA_F_CC11_IS.PEI","RT12.NSA_F_CC11_X_CC113_IS.PEI","BS.CCI.BAL_NSA","BS.CCI.BAL_SA","BS.CEME.BAL_NSA","BS.CEME.BAL_SA","BS.COB.BAL_NSA","BS.COB.BAL_SA","BS.CPE.BAL_NSA","BS.CPE.BAL_SA","BS.CTA.BAL_NSA","BS.CTA.BAL_SA","BS.FLBA1.PC_NSA","BS.FLBA1.PC_SA","BS.FLBA2.PC_NSA","BS.FLBA2.PC_SA","BS.FLBA3.PC_NSA","BS.FLBA3.PC_SA","BS.FLBA4.PC_NSA","BS.FLBA4.PC_SA","BS.FLBA5.PC_NSA","BS.FLBA5.PC_SA","BS.FLBA6.PC_NSA","BS.FLBA6.PC_SA","BS.FLBA7.PC_NSA","BS.FLBA7.PC_SA","PNUM_F_CC111_NSA_I10","PNUM_F_CC111_NSA_I15","PNUM_F_CC111_NSA_PCH_SM","PNUM_F_CC111_SCA_I10","PNUM_F_CC111_SCA_I15","PNUM_F_CC111_SCA_PCH_PRE","PNUM_F_CC112_NSA_I10","PNUM_F_CC112_NSA_I15","PNUM_F_CC112_NSA_PCH_SM","PNUM_F_CC112_SCA_I10","PNUM_F_CC112_SCA_I15","PNUM_F_CC112_SCA_PCH_PRE","PNUM_F_CC11_X_CC113_NSA_I10","PNUM_F_CC11_X_CC113_NSA_I15","PNUM_F_CC11_X_CC113_NSA_PCH_SM","PNUM_F_CC11_X_CC113_SCA_I10","PNUM_F_CC11_X_CC113_SCA_I15","PNUM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC1_NSA_I10","PSQM_F_CC1_NSA_I15","PSQM_F_CC1_NSA_PCH_SM","PSQM_F_CC1_SCA_I10","PSQM_F_CC1_SCA_I15","PSQM_F_CC1_SCA_PCH_PRE","PSQM_F_CC11_NSA_I10","PSQM_F_CC11_NSA_I15","PSQM_F_CC11_NSA_PCH_SM","PSQM_F_CC11_SCA_I10","PSQM_F_CC11_SCA_I15","PSQM_F_CC11_SCA_PCH_PRE","PSQM_F_CC111_NSA_I10","PSQM_F_CC111_NSA_I15","PSQM_F_CC111_NSA_PCH_SM","PSQM_F_CC111_SCA_I10","PSQM_F_CC111_SCA_I15","PSQM_F_CC111_SCA_PCH_PRE","PSQM_F_CC112_NSA_I10","PSQM_F_CC112_NSA_I15","PSQM_F_CC112_NSA_PCH_SM","PSQM_F_CC112_SCA_I10","PSQM_F_CC112_SCA_I15","PSQM_F_CC112_SCA_PCH_PRE","PSQM_F_CC113_NSA_I15","PSQM_F_CC113_NSA_PCH_SM","PSQM_F_CC113_SCA_I15","PSQM_F_CC113_SCA_PCH_PRE","PSQM_F_CC11_X_CC113_NSA_I10","PSQM_F_CC11_X_CC113_NSA_I15","PSQM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC11_X_CC113_SCA_I10","PSQM_F_CC11_X_CC113_SCA_I15","PSQM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC12_NSA_I10","PSQM_F_CC12_NSA_I15","PSQM_F_CC12_NSA_PCH_SM","PSQM_F_CC12_SCA_I10","PSQM_F_CC12_SCA_I15","PSQM_F_CC12_SCA_PCH_PRE","PSQM_F_CC122_NSA_I10","PSQM_F_CC122_NSA_I15","PSQM_F_CC122_NSA_PCH_SM","PSQM_F_CC122_SCA_I10","PSQM_F_CC122_SCA_I15","PSQM_F_CC122_SCA_PCH_PRE","PSQM_F_CC12_X_CC122_NSA_I10","PSQM_F_CC12_X_CC122_NSA_I15","PSQM_F_CC12_X_CC122_NSA_PCH_SM","PSQM_F_CC12_X_CC122_SCA_I10","PSQM_F_CC12_X_CC122_SCA_I15","PSQM_F_CC12_X_CC122_SCA_PCH_PRE"
"1",1,NA,NA,NA,116.9,121,121.2,NA,NA,NA,106,110.6,108.5,2019,9,NA,NA,4.8,2.4,0.3,NA,NA,NA,NA,-10.1,-6.8,-4.7,13,11.4,16.2,12.8,9.7,9.9,2.3,1.3,22,20.4,31.7,31.1,18,19.5,2.3,3.6,47.4,46.2,3.2,3,6.8,6.3,14.5,14.4,NA,123.9,5.6,NA,114.1,2.2,NA,113.7,-17.7,NA,101.2,1.8,NA,118.2,-8.3,NA,107.5,2.7,NA,116.9,-10.1,NA,106,4.8,NA,121,-6.8,NA,110.6,2.4,NA,125.3,6.6,NA,114.6,2.3,NA,115.6,-17.8,NA,101.2,0,114.8,-39.5,102.9,-21,NA,121.2,-4.7,NA,108.5,0.3,NA,113,-13.3,NA,103.8,8.6,NA,147.6,-16.1,NA,124.5,-15.4,NA,108.4,-12.7,NA,100.8,13.6
"2",2,63.4,60.7,74.2,91.3,93.2,92.4,102.4,101.3,106.2,101.1,108,108.2,2019,8,0.3,1.5,-20.3,-5.6,-6.5,-4.1,-0.9,0.2,-4.7,-7.4,-6.5,-4.7,13,10.3,16.2,12.9,9.7,7.8,2.3,0.4,22,14.8,31.7,30.9,18,19.7,2.3,3.2,47.4,45.4,3.2,3,6.8,6.3,14.5,14.6,NA,99.3,8.9,NA,111.6,-3.3,NA,80.7,-20,NA,99.4,-11.2,NA,89,-7.9,NA,104.7,-7.8,NA,91.3,-7.4,NA,101.1,-20.3,NA,93.2,-6.5,NA,108,-5.6,NA,99.4,6.5,NA,112,-3.2,NA,82.6,-19.2,NA,101.2,-10.1,111.5,-31.1,130.3,50.6,NA,92.4,-4.7,NA,108.2,-6.5,NA,89.4,-8.4,NA,95.6,-29,NA,131.5,28.3,NA,147.1,-2.5,NA,83.8,-13.5,NA,88.7,-33.1
"3",3,112,107.4,130.1,141.7,135.1,136.5,102.1,99.8,110.7,126.8,114.4,115.7,2019,7,-2.8,-3.7,15.8,3.2,6.7,0.7,-0.9,-1.5,1.2,15,5.4,7.3,11.8,8.7,15.4,10.7,8.2,6.8,2.6,0.4,20.6,16.6,30,29.4,19,20.5,2.6,3.1,47.6,45.4,3.6,3.2,8,7.4,14.4,14.6,NA,132,7.9,NA,115.4,9.8,NA,141.7,8,NA,111.9,-0.9,NA,137.4,7.9,NA,113.6,3.7,NA,141.7,15,NA,126.8,15.8,NA,135.1,5.4,NA,114.4,3.2,NA,132.3,8.1,NA,115.7,9.9,NA,142.4,6.3,NA,112.6,0.5,104.8,-30.2,86.5,-33.2,NA,136.5,7.3,NA,115.7,6.7,NA,147.7,24.5,NA,134.6,18.6,NA,170.3,15,NA,150.8,2,NA,144.7,26.3,NA,132.5,22.1
"4",4,112,110.4,117.6,118.6,114.2,113,105,103.6,109.9,109.5,110.8,108.4,2019,6,0.9,1.3,-10.6,-0.9,-2.8,-0.5,2,2.1,1.6,1.5,-3.3,-4.8,12.7,11.6,16.2,14.3,9.3,8.9,1.2,1.7,11.2,14,31.2,31.3,20.4,20.6,2.5,1.7,45.1,46,3.3,3.4,8.3,8.8,14.1,14.6,NA,108.2,-4.1,NA,105.1,-6.4,NA,117.3,-5,NA,112.9,4.9,NA,113.2,-4.6,NA,109.5,0.3,NA,118.6,1.5,NA,109.5,-10.6,NA,114.2,-3.3,NA,110.8,-0.9,NA,109.4,-4,NA,105.3,-7.2,NA,118,-6,NA,112,3.3,142.7,37.7,129.5,30.2,NA,113,-4.8,NA,108.4,-2.8,NA,122.6,5.9,NA,113.5,-13.4,NA,147.2,35.8,NA,147.9,7.4,NA,119.3,2.1,NA,108.5,-16.7
"5",5,106.4,104.8,111.8,117.2,107.5,108,104.1,102.3,110.5,122.5,111.8,111.5,2019,5,2.1,2.3,6.2,-2,-1.7,0.8,4.4,3.5,7.8,15.7,-3.5,-1.8,13.5,12.2,19.6,17.1,7.5,7.4,2.2,3.5,9,12.7,32,31.7,20.4,21,2.8,2,42.8,43.5,3.2,3.4,7.9,9.2,15.3,15.5,NA,110.4,12,NA,112.3,2.3,NA,101.2,-17.5,NA,107.6,-6.4,NA,105.3,-6.1,NA,109.2,-2.7,NA,117.2,15.7,NA,122.5,6.2,NA,107.5,-3.5,NA,111.8,-2,NA,112.2,11.6,NA,113.5,2.3,NA,102,-17.3,NA,108.4,-7.2,96.3,-32.3,99.5,-20.5,NA,108,-1.8,NA,111.5,-1.7,NA,126.2,37.2,NA,131.1,14.3,NA,116.6,35.3,NA,137.7,2,NA,127.4,37.3,NA,130.3,16.1
"6",6,105.1,102.6,114.4,104.6,107.5,107.3,102,100,109.6,115.4,114.1,113.4,2019,4,-4.7,-4.9,5.2,3.2,3.1,-3.6,-2,-3.3,3.2,8.7,4.4,2.9,13.2,11.6,19.4,17.2,7,6,3,3,8.3,16.7,31.3,31.2,22,22.1,2.7,1,43.6,44.2,3.5,3.5,9.1,9.2,15.6,15.4,NA,105,5.5,NA,109.8,1.3,NA,108,-0.6,NA,115,3.5,NA,106.7,2,NA,112.2,1.5,NA,104.6,8.7,NA,115.4,5.2,NA,107.5,4.4,NA,114.1,3.2,NA,105.9,5.1,NA,111,1.2,NA,109.3,0.1,NA,116.8,4.8,111.1,49.5,125.2,22.5,NA,107.3,2.9,NA,113.4,3.1,NA,101.9,13.5,NA,114.7,2,NA,122.6,24.6,NA,135,-6,NA,99.1,11.7,NA,112.2,3.6
"7",7,108.2,106.4,114.8,114.7,112.8,113,107,105.2,113.7,109.7,110.6,110,2019,3,0.6,0.5,-5.8,7.2,3.5,1.2,7.7,6.8,11.6,-5.5,-5.2,-6.2,10.8,10.6,15.4,15.7,6.1,5.6,1.6,2.2,9.2,16.5,32.9,32.8,22.4,21.8,5.3,3.1,37.7,40.6,2.2,2.5,9,9.2,14.6,15.1,NA,109.3,-6.7,NA,108.4,1.8,NA,114.2,-8.2,NA,111.1,12.7,NA,112,-7.6,NA,110.5,8.9,NA,114.7,-5.5,NA,109.7,-5.8,NA,112.8,-5.2,NA,110.6,7.2,NA,111.2,-5,NA,109.7,0.2,NA,115.5,-7.9,NA,111.5,10.4,109.7,30.9,102.2,-4,NA,113,-6.2,NA,110,3.5,NA,116.5,-5.7,NA,112.4,-12.1,NA,142.4,-15.7,NA,143.6,15.9,NA,113,-3.8,NA,108.3,-15.7
"8",8,111.5,112.7,105.4,107.7,95.8,96.2,106.4,104.7,112.3,116.5,103.2,106.3,2019,2,4.7,4.3,-3.6,-2.8,-1.5,6.3,4.9,3.5,12.1,1.3,-14.5,-14.7,11,11.4,16.5,18.6,5.6,4.2,7.4,7.1,15.3,14.7,32,31.2,22.9,22.8,7.3,4.9,38.4,40.9,2.1,2.6,8.4,8.9,13.4,13.8,NA,103.6,-7.3,NA,106.5,-0.9,NA,81.7,-27.3,NA,98.6,-9.4,NA,91.4,-18.5,NA,101.5,-5,NA,107.7,1.3,NA,116.5,-3.6,NA,95.8,-14.5,NA,103.2,-2.8,NA,105.1,-6.1,NA,109.5,2.1,NA,83.8,-26.5,NA,101,-8.8,87.2,-8.9,106.5,5.4,NA,96.2,-14.7,NA,106.3,-1.5,NA,118.6,17.5,NA,127.8,-2,NA,111.9,-12.9,NA,123.9,-11.1,NA,119.5,22.8,NA,128.4,-0.8
"9",9,93.7,95.4,85.7,113.6,101.5,102.9,101.6,100.4,105.6,120.9,106.2,107.9,2019,1,-3.9,-3.6,10.7,-2.6,-0.6,-5.2,0.7,0.1,3.2,1.2,-5.3,-5.4,6.5,6.2,9.9,11.7,3.1,0.7,6.3,3.9,17.3,10.3,32.3,31.6,25,24.5,5.3,4.4,38.8,40.5,2.3,2.6,8.3,8.6,15,15.2,NA,111.1,-10.1,NA,107.5,-1.8,NA,89.2,1.6,NA,108.8,3.5,NA,98.9,-4.5,NA,106.8,-0.9,NA,113.6,1.2,NA,120.9,10.7,NA,101.5,-5.3,NA,106.2,-2.6,NA,112.4,-8.5,NA,107.3,-2.5,NA,89.6,0.6,NA,110.8,3.2,69,-4,101,-3.3,NA,102.9,-5.4,NA,107.9,-0.6,NA,124.8,6.7,NA,130.4,15,NA,128.9,-8.8,NA,139.3,7.2,NA,124.3,9.3,NA,129.5,16.6
"10",10,89.4,89.1,90,109.2,112.3,111.9,105.7,104.2,111.4,109.2,109,108.5,2018,12,3.2,2.3,-4.4,-0.4,-1.7,7.6,-0.3,-1.3,4.2,-6.9,-13.4,-14.4,6.8,9.7,12.7,17.7,0.9,1.7,2.6,4.5,21,14.2,30,29.6,25.3,25,2.1,4.2,41.6,42.3,3.1,3.5,9.7,9.8,15.3,15.4,NA,107.5,-13.3,NA,109.5,-0.6,NA,115.4,-18,NA,105.1,1.2,NA,111.9,-16.1,NA,107.8,1,NA,109.2,-6.9,NA,109.2,-4.4,NA,112.3,-13.4,NA,109,-0.4,NA,107.3,-12.6,NA,110.1,-1.3,NA,118.3,-16.6,NA,107.4,-0.6,121.2,12.2,104.4,-20.3,NA,111.9,-14.4,NA,108.5,-1.7,NA,106.3,0.6,NA,113.4,-2.4,NA,139.1,1.8,NA,129.9,0,NA,101.9,0.3,NA,111.1,-2.7
"11",11,112.6,111.6,115.6,105.5,99.6,98.5,102.4,101.9,103.5,114.2,109.4,110.4,2018,11,1.2,2.7,1.7,-4.3,-6.6,-5,0.3,1.1,-2.9,-2.3,-2.2,-2.4,5.9,8.2,13.5,18.4,-1.7,-1.9,1.4,3.9,16.9,11.2,30.2,30.2,26.1,25.4,3.2,5.5,40.3,40.3,3.1,3.1,9.5,9.2,15.8,15.2,NA,99.5,-4,NA,110.2,-0.5,NA,93.9,-4.1,NA,103.9,-10.8,NA,96.4,-4,NA,106.7,-6.9,NA,105.5,-2.3,NA,114.2,1.7,NA,99.6,-2.2,NA,109.4,-4.3,NA,99.8,-3.2,NA,111.5,0.1,NA,96.6,-1.2,NA,108.1,-11.6,126.1,3.2,131,87.9,NA,98.5,-2.4,NA,110.4,-6.6,NA,110.9,-2.5,NA,116.2,9.1,NA,128.9,-6.9,NA,129.9,-3.1,NA,108.5,-1.6,NA,114.2,11.7
"12",12,115.2,111.3,130.7,123.5,125.2,127.1,101.2,99.2,109,112.3,114.3,118.2,2018,10,-4.4,-5.3,-5.7,-6.8,0.5,-0.6,-1.5,-2.5,2.3,-5.1,2,5.2,3.6,4.7,13.7,14.2,-6.6,-4.9,3.3,4.7,12,11.3,30.5,30.4,27,26.3,1.7,4.6,40.2,39.5,3.2,3,10.6,10.9,14.7,14.3,NA,113.2,1.3,NA,110.8,-0.6,NA,142,4.5,NA,116.5,-8.6,NA,129.2,3.2,NA,114.6,-5.7,NA,123.5,-5.1,NA,112.3,-5.7,NA,125.2,2,NA,114.3,-6.8,NA,112.5,2.1,NA,111.4,0.5,NA,147.7,8.9,NA,122.3,-3.3,80.7,-52.2,69.7,-59,NA,127.1,5.2,NA,118.2,0.5,NA,121.9,-11,NA,106.5,-11.8,NA,159.1,2.4,NA,134.1,-9.5,NA,116.9,-13.2,NA,102.2,-12.1
"13",13,110.6,108.7,117.3,130.1,129.8,127.2,105.9,104.7,109.7,119.1,122.7,117.6,2018,9,3,3.8,10.1,9.7,7.4,0.1,4.1,3.9,5,-3.1,-8.5,-8.4,9.8,9.3,22.2,20.1,-2.7,-1.5,6.4,6.7,11.3,11.1,29.8,29,24.9,25.6,3.2,5.3,39.2,38.7,3.7,3.6,11.9,11.6,14.1,13.4,NA,117.3,-6.2,NA,111.5,12.4,NA,138.2,-13.3,NA,127.5,6.5,NA,128.9,-10.6,NA,121.5,10.8,NA,130.1,-3.1,NA,119.1,10.1,NA,129.8,-8.5,NA,122.7,9.7,NA,117.5,-7.3,NA,110.8,8.5,NA,140.6,-9.8,NA,126.5,4.1,189.9,-10.7,170.1,-10.4,NA,127.2,-8.4,NA,117.6,7.4,NA,130.3,2.5,NA,120.7,17.2,NA,176,16.2,NA,148.2,29.2,NA,124.2,0.3,NA,116.3,15.1
"14",14,66,62.2,81.4,98.6,99.7,97,102.8,100.9,109.6,108.2,111.8,109.5,2018,8,-0.1,-0.2,-0.4,-0.3,-0.3,-0.2,0.2,-1.1,4.9,-19.4,-7.5,-11.4,9.7,8.4,20.3,18.4,-1,-1.6,7,6.2,21.1,14.9,30.3,29.2,25.6,26.5,3.7,5.4,39,37.8,3.6,3.5,12.6,11.9,14.3,13.9,NA,91.2,-14.7,NA,99.2,-10.1,NA,100.9,-10.5,NA,119.7,11.3,NA,96.6,-12.3,NA,109.7,0.5,NA,98.6,-19.4,NA,108.2,-0.4,NA,99.7,-7.5,NA,111.8,-0.3,NA,93.3,-13.5,NA,102.1,-6.9,NA,102.2,-8.6,NA,121.5,11.5,161.9,128.7,189.8,53.6,NA,97,-11.4,NA,109.5,-0.3,NA,97.6,-28.1,NA,103,-2.9,NA,102.5,-5.4,NA,114.7,-12.7,NA,96.9,-30.5,NA,101,-2
"15",15,112.3,109,125.1,123.2,128.2,127.2,102.9,101.1,109.8,108.6,112.1,109.8,2018,7,-0.1,-0.5,0.7,1.1,-1,1.6,-0.5,-1.8,4.9,-6,-10.3,-11.4,10.2,8.2,21.9,18,-1.6,-1.6,8.5,7.8,16.7,15.1,30.5,29.5,26.3,26.7,4.3,5.4,38.7,37.3,3.9,3.5,12.2,11.5,13.7,13.4,NA,122.3,-1.2,NA,110.4,4.1,NA,131.2,-23.3,NA,107.5,-6.4,NA,127.3,-15.2,NA,109.1,-1.5,NA,123.2,-6,NA,108.6,0.7,NA,128.2,-10.3,NA,112.1,1.1,NA,122.4,-1.3,NA,109.7,3.6,NA,133.9,-21.7,NA,109,-6.1,150.2,14.1,123.6,31.2,NA,127.2,-11.4,NA,109.8,-1,NA,118.6,-1.2,NA,106.1,-0.5,NA,148.1,-2.5,NA,131.4,20.6,NA,114.6,-1,NA,103.1,-2.6
"16",16,113.5,111.1,122.5,116.9,118.1,118.7,103,101.6,108.1,107.8,110.9,110.9,2018,6,3.4,2.9,0.8,-4.3,-2.4,5.6,1.7,1.4,3.2,-6.9,-11.9,-11.4,6.3,6.4,17.4,16.2,-4.8,-3.3,4.3,5.6,5.9,10.3,28.8,29,28,27.4,12.3,11.4,33.4,34.8,2.3,2.4,8.9,9.2,13.3,13.4,NA,112.8,-10.3,NA,106.1,5.7,NA,123.5,-15.3,NA,114.8,-12.1,NA,118.7,-13.3,NA,110.8,-4.7,NA,116.9,-6.9,NA,107.8,0.8,NA,118.1,-11.9,NA,110.9,-4.3,NA,113.9,-10,NA,105.9,4,NA,125.5,-12.9,NA,116.1,-11.6,103.6,-25.5,94.2,-35.9,NA,118.7,-11.4,NA,110.9,-2.4,NA,115.8,-1.6,NA,106.6,9.3,NA,108.4,-3.9,NA,109,7.1,NA,116.8,-1.4,NA,105.9,10.1
"17",17,99.2,98.6,100.4,101.3,111.4,110,99.6,98.7,102.4,106.9,115.9,113.6,2018,5,-4.3,-4.5,-0.1,2.5,0,-3.4,-4.6,-4.5,-4.5,-11.5,-6.3,-7.9,4.6,5,17.7,16.7,-8.5,-6.8,4.3,6.6,7.2,12.6,30.2,30.4,27.7,27.1,12.3,11.4,32.5,34,2.1,2.2,7.9,9,13.2,13.3,NA,98.6,-18.3,NA,100.4,-6.4,NA,122.7,3.6,NA,130.6,8.7,NA,112.1,-6.1,NA,116.3,2.1,NA,101.3,-11.5,NA,106.9,-0.1,NA,111.4,-6.3,NA,115.9,2.5,NA,100.5,-16.2,NA,101.8,-7.3,NA,123.4,3.7,NA,131.4,9.2,142.3,35.4,147,75.2,NA,110,-7.9,NA,113.6,0,NA,92,-16.7,NA,97.5,-5,NA,86.2,-19.7,NA,101.8,-6,NA,92.8,-16.2,NA,96.2,-5.4
