"","YEAR","MONTH","I2015_NSA_IS.IP_F","I2015_NSA_IS.IP_F_CC1","I2015_NSA_IS.IP_F_CC2","I2015_NSA_IS.PEI_F_CC1","I2015_NSA_IS.PEI_F_CC11","I2015_NSA_IS.PEI_F_CC11_X_CC113","RT12.NSA_F_CC1_IS.PEI","RT12.NSA_F_CC11_IS.PEI","RT12.NSA_F_CC11_X_CC113_IS.PEI","BS.CCI.BAL_NSA","BS.CEME.BAL_NSA","BS.COB.BAL_NSA","BS.CPE.BAL_NSA","BS.CTA.BAL_NSA","BS.FLBA1.PC_NSA","BS.FLBA2.PC_NSA","BS.FLBA3.PC_NSA","BS.FLBA4.PC_NSA","BS.FLBA5.PC_NSA","BS.FLBA6.PC_NSA","BS.FLBA7.PC_NSA","PNUM_F_CC111_NSA_I10","PNUM_F_CC111_NSA_I15","PNUM_F_CC111_NSA_PCH_SM","PNUM_F_CC112_NSA_I10","PNUM_F_CC112_NSA_I15","PNUM_F_CC112_NSA_PCH_SM","PNUM_F_CC11_X_CC113_NSA_I10","PNUM_F_CC11_X_CC113_NSA_I15","PNUM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC1_NSA_I10","PSQM_F_CC1_NSA_I15","PSQM_F_CC1_NSA_PCH_SM","PSQM_F_CC11_NSA_I10","PSQM_F_CC11_NSA_I15","PSQM_F_CC11_NSA_PCH_SM","PSQM_F_CC111_NSA_I10","PSQM_F_CC111_NSA_I15","PSQM_F_CC111_NSA_PCH_SM","PSQM_F_CC112_NSA_I10","PSQM_F_CC112_NSA_I15","PSQM_F_CC112_NSA_PCH_SM","PSQM_F_CC113_NSA_I15","PSQM_F_CC113_NSA_PCH_SM","PSQM_F_CC11_X_CC113_NSA_I10","PSQM_F_CC11_X_CC113_NSA_I15","PSQM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC12_NSA_I10","PSQM_F_CC12_NSA_I15","PSQM_F_CC12_NSA_PCH_SM","PSQM_F_CC122_NSA_I10","PSQM_F_CC122_NSA_I15","PSQM_F_CC122_NSA_PCH_SM","PSQM_F_CC12_X_CC122_NSA_I10","PSQM_F_CC12_X_CC122_NSA_I15","PSQM_F_CC12_X_CC122_NSA_PCH_SM"
"1",2019,9,NA,NA,NA,116.9,121,121.2,-10.1,-6.8,-4.7,13,16.2,9.7,2.3,22,31.7,18,2.3,47.4,3.2,6.8,14.5,NA,123.9,5.6,NA,113.7,-17.7,NA,118.2,-8.3,NA,116.9,-10.1,NA,121,-6.8,NA,125.3,6.6,NA,115.6,-17.8,114.8,-39.5,NA,121.2,-4.7,NA,113,-13.3,NA,147.6,-16.1,NA,108.4,-12.7
"2",2019,8,63.4,60.7,74.2,91.3,93.2,92.4,-7.4,-6.5,-4.7,13,16.2,9.7,2.3,22,31.7,18,2.3,47.4,3.2,6.8,14.5,NA,99.3,8.9,NA,80.7,-20,NA,89,-7.9,NA,91.3,-7.4,NA,93.2,-6.5,NA,99.4,6.5,NA,82.6,-19.2,111.5,-31.1,NA,92.4,-4.7,NA,89.4,-8.4,NA,131.5,28.3,NA,83.8,-13.5
"3",2019,7,112,107.4,130.1,141.7,135.1,136.5,15,5.4,7.3,11.8,15.4,8.2,2.6,20.6,30,19,2.6,47.6,3.6,8,14.4,NA,132,7.9,NA,141.7,8,NA,137.4,7.9,NA,141.7,15,NA,135.1,5.4,NA,132.3,8.1,NA,142.4,6.3,104.8,-30.2,NA,136.5,7.3,NA,147.7,24.5,NA,170.3,15,NA,144.7,26.3
"4",2019,6,112,110.4,117.6,118.6,114.2,113,1.5,-3.3,-4.8,12.7,16.2,9.3,1.2,11.2,31.2,20.4,2.5,45.1,3.3,8.3,14.1,NA,108.2,-4.1,NA,117.3,-5,NA,113.2,-4.6,NA,118.6,1.5,NA,114.2,-3.3,NA,109.4,-4,NA,118,-6,142.7,37.7,NA,113,-4.8,NA,122.6,5.9,NA,147.2,35.8,NA,119.3,2.1
"5",2019,5,106.4,104.8,111.8,117.2,107.5,108,15.7,-3.5,-1.8,13.5,19.6,7.5,2.2,9,32,20.4,2.8,42.8,3.2,7.9,15.3,NA,110.4,12,NA,101.2,-17.5,NA,105.3,-6.1,NA,117.2,15.7,NA,107.5,-3.5,NA,112.2,11.6,NA,102,-17.3,96.3,-32.3,NA,108,-1.8,NA,126.2,37.2,NA,116.6,35.3,NA,127.4,37.3
"6",2019,4,105.1,102.6,114.4,104.6,107.5,107.3,8.7,4.4,2.9,13.2,19.4,7,3,8.3,31.3,22,2.7,43.6,3.5,9.1,15.6,NA,105,5.5,NA,108,-0.6,NA,106.7,2,NA,104.6,8.7,NA,107.5,4.4,NA,105.9,5.1,NA,109.3,0.1,111.1,49.5,NA,107.3,2.9,NA,101.9,13.5,NA,122.6,24.6,NA,99.1,11.7
"7",2019,3,108.2,106.4,114.8,114.7,112.8,113,-5.5,-5.2,-6.2,10.8,15.4,6.1,1.6,9.2,32.9,22.4,5.3,37.7,2.2,9,14.6,NA,109.3,-6.7,NA,114.2,-8.2,NA,112,-7.6,NA,114.7,-5.5,NA,112.8,-5.2,NA,111.2,-5,NA,115.5,-7.9,109.7,30.9,NA,113,-6.2,NA,116.5,-5.7,NA,142.4,-15.7,NA,113,-3.8
"8",2019,2,111.5,112.7,105.4,107.7,95.8,96.2,1.3,-14.5,-14.7,11,16.5,5.6,7.4,15.3,32,22.9,7.3,38.4,2.1,8.4,13.4,NA,103.6,-7.3,NA,81.7,-27.3,NA,91.4,-18.5,NA,107.7,1.3,NA,95.8,-14.5,NA,105.1,-6.1,NA,83.8,-26.5,87.2,-8.9,NA,96.2,-14.7,NA,118.6,17.5,NA,111.9,-12.9,NA,119.5,22.8
"9",2019,1,93.7,95.4,85.7,113.6,101.5,102.9,1.2,-5.3,-5.4,6.5,9.9,3.1,6.3,17.3,32.3,25,5.3,38.8,2.3,8.3,15,NA,111.1,-10.1,NA,89.2,1.6,NA,98.9,-4.5,NA,113.6,1.2,NA,101.5,-5.3,NA,112.4,-8.5,NA,89.6,0.6,69,-4,NA,102.9,-5.4,NA,124.8,6.7,NA,128.9,-8.8,NA,124.3,9.3
"10",2018,12,89.4,89.1,90,109.2,112.3,111.9,-6.9,-13.4,-14.4,6.8,12.7,0.9,2.6,21,30,25.3,2.1,41.6,3.1,9.7,15.3,NA,107.5,-13.3,NA,115.4,-18,NA,111.9,-16.1,NA,109.2,-6.9,NA,112.3,-13.4,NA,107.3,-12.6,NA,118.3,-16.6,121.2,12.2,NA,111.9,-14.4,NA,106.3,0.6,NA,139.1,1.8,NA,101.9,0.3
