"","I2015_SCA_IS.IP_F","I2015_SCA_IS.IP_F_CC1","I2015_SCA_IS.IP_F_CC2","I2015_SCA_IS.PEI_F_CC1","I2015_SCA_IS.PEI_F_CC11","I2015_SCA_IS.PEI_F_CC11_X_CC113","YEAR","MONTH","RT1.SCA_F_IS.IP","RT1.SCA_F_CC1_IS.IP","RT1.SCA_F_CC1_IS.PEI","RT1.SCA_F_CC11_IS.PEI","RT1.SCA_F_CC11_X_CC113_IS.PEI","RT1.SCA_F_CC2_IS.IP","RT12.CA_F_IS.IP","RT12.CA_F_CC1_IS.IP","RT12.CA_F_CC2_IS.IP","BS.CCI.BAL_SA","BS.CEME.BAL_SA","BS.COB.BAL_SA","BS.CPE.BAL_SA","BS.CTA.BAL_SA","BS.FLBA1.PC_SA","BS.FLBA2.PC_SA","BS.FLBA3.PC_SA","BS.FLBA4.PC_SA","BS.FLBA5.PC_SA","BS.FLBA6.PC_SA","BS.FLBA7.PC_SA","PNUM_F_CC111_SCA_I10","PNUM_F_CC111_SCA_I15","PNUM_F_CC111_SCA_PCH_PRE","PNUM_F_CC112_SCA_I10","PNUM_F_CC112_SCA_I15","PNUM_F_CC112_SCA_PCH_PRE","PNUM_F_CC11_X_CC113_SCA_I10","PNUM_F_CC11_X_CC113_SCA_I15","PNUM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC1_SCA_I10","PSQM_F_CC1_SCA_I15","PSQM_F_CC1_SCA_PCH_PRE","PSQM_F_CC11_SCA_I10","PSQM_F_CC11_SCA_I15","PSQM_F_CC11_SCA_PCH_PRE","PSQM_F_CC111_SCA_I10","PSQM_F_CC111_SCA_I15","PSQM_F_CC111_SCA_PCH_PRE","PSQM_F_CC112_SCA_I10","PSQM_F_CC112_SCA_I15","PSQM_F_CC112_SCA_PCH_PRE","PSQM_F_CC113_SCA_I15","PSQM_F_CC113_SCA_PCH_PRE","PSQM_F_CC11_X_CC113_SCA_I10","PSQM_F_CC11_X_CC113_SCA_I15","PSQM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC12_SCA_I10","PSQM_F_CC12_SCA_I15","PSQM_F_CC12_SCA_PCH_PRE","PSQM_F_CC122_SCA_I10","PSQM_F_CC122_SCA_I15","PSQM_F_CC122_SCA_PCH_PRE","PSQM_F_CC12_X_CC122_SCA_I10","PSQM_F_CC12_X_CC122_SCA_I15","PSQM_F_CC12_X_CC122_SCA_PCH_PRE"
"1",NA,NA,NA,106,110.6,108.5,2019,9,NA,NA,4.8,2.4,0.3,NA,NA,NA,NA,11.4,12.8,9.9,1.3,20.4,31.1,19.5,3.6,46.2,3,6.3,14.4,NA,114.1,2.2,NA,101.2,1.8,NA,107.5,2.7,NA,106,4.8,NA,110.6,2.4,NA,114.6,2.3,NA,101.2,0,102.9,-21,NA,108.5,0.3,NA,103.8,8.6,NA,124.5,-15.4,NA,100.8,13.6
"2",102.4,101.3,106.2,101.1,108,108.2,2019,8,0.3,1.5,-20.3,-5.6,-6.5,-4.1,-0.9,0.2,-4.7,10.3,12.9,7.8,0.4,14.8,30.9,19.7,3.2,45.4,3,6.3,14.6,NA,111.6,-3.3,NA,99.4,-11.2,NA,104.7,-7.8,NA,101.1,-20.3,NA,108,-5.6,NA,112,-3.2,NA,101.2,-10.1,130.3,50.6,NA,108.2,-6.5,NA,95.6,-29,NA,147.1,-2.5,NA,88.7,-33.1
"3",102.1,99.8,110.7,126.8,114.4,115.7,2019,7,-2.8,-3.7,15.8,3.2,6.7,0.7,-0.9,-1.5,1.2,8.7,10.7,6.8,0.4,16.6,29.4,20.5,3.1,45.4,3.2,7.4,14.6,NA,115.4,9.8,NA,111.9,-0.9,NA,113.6,3.7,NA,126.8,15.8,NA,114.4,3.2,NA,115.7,9.9,NA,112.6,0.5,86.5,-33.2,NA,115.7,6.7,NA,134.6,18.6,NA,150.8,2,NA,132.5,22.1
"4",105,103.6,109.9,109.5,110.8,108.4,2019,6,0.9,1.3,-10.6,-0.9,-2.8,-0.5,2,2.1,1.6,11.6,14.3,8.9,1.7,14,31.3,20.6,1.7,46,3.4,8.8,14.6,NA,105.1,-6.4,NA,112.9,4.9,NA,109.5,0.3,NA,109.5,-10.6,NA,110.8,-0.9,NA,105.3,-7.2,NA,112,3.3,129.5,30.2,NA,108.4,-2.8,NA,113.5,-13.4,NA,147.9,7.4,NA,108.5,-16.7
"5",104.1,102.3,110.5,122.5,111.8,111.5,2019,5,2.1,2.3,6.2,-2,-1.7,0.8,4.4,3.5,7.8,12.2,17.1,7.4,3.5,12.7,31.7,21,2,43.5,3.4,9.2,15.5,NA,112.3,2.3,NA,107.6,-6.4,NA,109.2,-2.7,NA,122.5,6.2,NA,111.8,-2,NA,113.5,2.3,NA,108.4,-7.2,99.5,-20.5,NA,111.5,-1.7,NA,131.1,14.3,NA,137.7,2,NA,130.3,16.1
"6",102,100,109.6,115.4,114.1,113.4,2019,4,-4.7,-4.9,5.2,3.2,3.1,-3.6,-2,-3.3,3.2,11.6,17.2,6,3,16.7,31.2,22.1,1,44.2,3.5,9.2,15.4,NA,109.8,1.3,NA,115,3.5,NA,112.2,1.5,NA,115.4,5.2,NA,114.1,3.2,NA,111,1.2,NA,116.8,4.8,125.2,22.5,NA,113.4,3.1,NA,114.7,2,NA,135,-6,NA,112.2,3.6
"7",107,105.2,113.7,109.7,110.6,110,2019,3,0.6,0.5,-5.8,7.2,3.5,1.2,7.7,6.8,11.6,10.6,15.7,5.6,2.2,16.5,32.8,21.8,3.1,40.6,2.5,9.2,15.1,NA,108.4,1.8,NA,111.1,12.7,NA,110.5,8.9,NA,109.7,-5.8,NA,110.6,7.2,NA,109.7,0.2,NA,111.5,10.4,102.2,-4,NA,110,3.5,NA,112.4,-12.1,NA,143.6,15.9,NA,108.3,-15.7
"8",106.4,104.7,112.3,116.5,103.2,106.3,2019,2,4.7,4.3,-3.6,-2.8,-1.5,6.3,4.9,3.5,12.1,11.4,18.6,4.2,7.1,14.7,31.2,22.8,4.9,40.9,2.6,8.9,13.8,NA,106.5,-0.9,NA,98.6,-9.4,NA,101.5,-5,NA,116.5,-3.6,NA,103.2,-2.8,NA,109.5,2.1,NA,101,-8.8,106.5,5.4,NA,106.3,-1.5,NA,127.8,-2,NA,123.9,-11.1,NA,128.4,-0.8
"9",101.6,100.4,105.6,120.9,106.2,107.9,2019,1,-3.9,-3.6,10.7,-2.6,-0.6,-5.2,0.7,0.1,3.2,6.2,11.7,0.7,3.9,10.3,31.6,24.5,4.4,40.5,2.6,8.6,15.2,NA,107.5,-1.8,NA,108.8,3.5,NA,106.8,-0.9,NA,120.9,10.7,NA,106.2,-2.6,NA,107.3,-2.5,NA,110.8,3.2,101,-3.3,NA,107.9,-0.6,NA,130.4,15,NA,139.3,7.2,NA,129.5,16.6
"10",105.7,104.2,111.4,109.2,109,108.5,2018,12,3.2,2.3,-4.4,-0.4,-1.7,7.6,-0.3,-1.3,4.2,9.7,17.7,1.7,4.5,14.2,29.6,25,4.2,42.3,3.5,9.8,15.4,NA,109.5,-0.6,NA,105.1,1.2,NA,107.8,1,NA,109.2,-4.4,NA,109,-0.4,NA,110.1,-1.3,NA,107.4,-0.6,104.4,-20.3,NA,108.5,-1.7,NA,113.4,-2.4,NA,129.9,0,NA,111.1,-2.7
