"","Year","Produit intérieur brut (PIB)","Importations de biens et de services","Dépense de consommation finale","  ménages","  administrations publiques...6","Formation brute de capital fixe","  sociétés et entreprises individuelles non financières","  administrations publiques...9","  ménages hors entrepreneurs individuels","Exportations de biens et de services","Demande intérieure hors stocks","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Value","Flag.Codes"
"1",1950,293.36716859339,15.5010225597333,236.822222647626,158.912663302478,71.4738364389543,50.8099496367651,27.3657920358537,9.10737205127977,12.5060221856669,18.1069382069364,285.912989515162,NA,NA,NA,NA,NA,NA,NA
"2",1951,310.357588523066,18.428195306034,253.290965892992,170.261392004669,75.886865584227,55.6796554073845,29.1955487437175,9.04615809947021,16.4314945072117,20.2765604339342,307.259962089814,NA,NA,NA,NA,NA,NA,NA
"3",1952,320.022213669521,18.9672978694197,265.816603090522,177.806587677121,81.0019115457754,56.183309404222,27.0121029604802,10.8779946922381,18.9003836300237,19.6235304917463,320.041272231437,NA,NA,NA,NA,NA,NA,NA
"4",1953,331.082931354714,18.9626222441626,277.979275137188,186.477369181181,83.9106110762441,58.7719909682657,27.7454002423712,11.9137983489504,20.0214992150704,19.3727201542692,334.713629326787,NA,NA,NA,NA,NA,NA,NA
"5",1954,349.551797449429,19.7540687717395,286.413402565751,193.867511547052,83.8972946712498,64.056345924049,28.7173813353593,13.4931159543725,24.0030926315988,20.9789907466362,348.978839184315,NA,NA,NA,NA,NA,NA,NA
"6",1955,368.119554460729,21.0607197820573,300.343842467879,204.270991514828,86.5478751881486,70.8561258095547,31.1668535604678,14.9644873135954,27.6436577819544,21.9440883889752,370.162225218857,NA,NA,NA,NA,NA,NA,NA
"7",1956,386.480847295275,25.0392222097884,321.229920549628,218.454586988724,92.6189452120642,76.3195232465919,34.3616530747136,16.676315531083,27.8088883917782,21.6005484667283,396.499186879525,NA,NA,NA,NA,NA,NA,NA
"8",1957,407.801904038318,27.1997770791525,335.087461831052,228.923837337483,95.1243404623851,83.7967463828577,37.8702311453602,18.4647056796382,30.1719656131443,23.4599750883545,418.344207569302,NA,NA,NA,NA,NA,NA,NA
"9",1958,418.795088938096,26.0566345674608,335.103837469099,229.55207549216,94.2397963427503,87.9873501391741,39.5640690981899,19.0366947375334,32.1363050736825,23.942497766772,423.215408130973,NA,NA,NA,NA,NA,NA,NA
"10",1959,429.982874016831,26.1271119519272,342.14699927243,234.766759619821,95.6894399033174,92.0009346857375,41.1855953119126,21.3707259005521,32.141347819306,26.9116360189754,434.538181408556,NA,NA,NA,NA,NA,NA,NA
"11",1960,464.34690102622,29.78099324491,357.183708320334,246.481333236242,97.8533029920238,98.2095803356851,44.5929708210753,22.6620855771698,33.387774812389,31.6731868021977,456.01240398029,"FRA","LTINT","TOT","PC_PA","A",5.663333,""
"12",1961,487.471993654121,32.0018086559075,377.770745258798,260.835599336262,103.950055707609,109.627846896419,49.9932981408182,25.1417037401713,37.1183047435509,33.3563457065635,488.60867319679,"FRA","LTINT","TOT","PC_PA","A",5.519166,""
"13",1962,520.832309446388,34.2896911808094,404.962370648515,280.068075693999,111.246154592804,116.890753484393,53.1636463331453,28.3878201571941,38.0228857614944,33.7454146276623,523.00900280284,"FRA","LTINT","TOT","PC_PA","A",5.434166,""
"14",1963,553.298675224238,38.7285822434516,432.137548064025,300.329873334717,117.386146499463,126.808915276298,56.8807725832045,31.1511137157107,42.1693120841554,36.5761345353145,560.327470950738,"FRA","LTINT","TOT","PC_PA","A",5.338333,""
"15",1964,590.105214436937,44.6438543720435,456.316671401858,316.833832572183,124.591319669739,139.819106683466,61.3777521268451,35.7142332136329,47.2682093372341,39.6073599845163,598.150852769957,"FRA","LTINT","TOT","PC_PA","A",5.449167,""
"16",1965,618.792746393471,45.7748295856646,474.77125539966,329.065679027229,130.50670291169,147.799762555195,62.4560404671834,38.9198322220737,52.728313049534,43.8874444078903,624.845816168011,"FRA","LTINT","TOT","PC_PA","A",6.2025,""
"17",1966,651.290719769287,51.0112105656339,496.875923741391,344.852421273269,136.648626286787,159.061291615291,67.5360876400336,40.0290644012387,58.3109582306102,46.9206890621014,658.719799732783,"FRA","LTINT","TOT","PC_PA","A",6.579167,""
"18",1967,683.342242468529,56.003664559389,521.470499911148,362.104837582965,144.014817821631,171.098340335772,72.4671194178469,43.3284648106307,62.7564708221118,50.4266640495221,695.82528609314,"FRA","LTINT","TOT","PC_PA","A",6.706666,""
"19",1968,714.033322236641,62.7244153731401,543.702997735681,377.732983535146,150.331311700921,180.733957692237,77.5395048121021,42.0498901987436,68.6986036837551,55.7090248659072,727.955988881275,"FRA","LTINT","TOT","PC_PA","A",6.950833,"B"
"20",1969,764.797149771488,75.5128976762884,578.169311417782,402.087882422696,159.458623904154,194.787995331141,86.0512360205861,43.0875238032487,72.9013112501758,64.334339950216,776.777121089909,"FRA","LTINT","TOT","PC_PA","A",8.1775,""
"21",1970,811.516142068687,81.0154385438384,605.636670569169,420.271919122902,167.929784122114,205.12267625027,89.3618192155132,45.1565847600812,78.5448137267687,74.7026300014996,814.67028004135,"FRA","LTINT","TOT","PC_PA","A",8.550834,""
"22",1971,854.662450135243,86.8883582348341,640.505896577277,443.829747183704,178.509943001393,219.234506185017,97.3177976225163,45.9409497047414,84.0570128398309,81.9173180871228,863.859996898914,"FRA","LTINT","TOT","PC_PA","A",8.421667,""
"23",1972,893.219449425035,99.7135319036059,672.260031386703,466.762511236762,186.809116201131,232.363096644886,103.512322803478,46.2925220027494,90.4334752034642,90.9202766234823,908.925941916967,"FRA","LTINT","TOT","PC_PA","A",8.013333,""
