"","BS-CCI-BAL_NSA","BS-CCI-BAL_SA","BS-CEME-BAL_NSA","BS-CEME-BAL_SA","BS-COB-BAL_NSA","BS-COB-BAL_SA","BS-CPE-BAL_NSA","BS-CPE-BAL_SA","BS-CTA-BAL_NSA","BS-CTA-BAL_SA","BS-FLBA1-PC_NSA","BS-FLBA1-PC_SA","BS-FLBA2-PC_NSA","BS-FLBA2-PC_SA","BS-FLBA3-PC_NSA","BS-FLBA3-PC_SA","BS-FLBA4-PC_NSA","BS-FLBA4-PC_SA","BS-FLBA5-PC_NSA","BS-FLBA5-PC_SA","BS-FLBA6-PC_NSA","BS-FLBA6-PC_SA","BS-FLBA7-PC_NSA","BS-FLBA7-PC_SA","YEAR","MONTH"
"1","14.8 ","14.5 ","19.8 ","18.3 ","9.8 ","10.7 ","1.6 ","1.6 ","19.2 ","18.0 ","31.2 ","31.2 ","17.9 ","17.9 ","1.8 ","3.9 ","47.0 ","45.7 ","3.3 ","3.0 ","7.1 ","7.1 ","15.2 ","14.9 ","2019","10 "
"2","13.0 ","11.4 ","16.2 ","12.8 ","9.7 ","9.9 ","2.3 ","1.3 ","22.0 ","20.4 ","31.7 ","31.1 ","18.0 ","19.5 ","2.3 ","3.6 ","47.4 ","46.2 ","3.2 ","3.0 ","6.8 ","6.3 ","14.5 ","14.4 ","2019","09 "
"3","13.0 ","10.3 ","16.2 ","12.9 ","9.7 ","7.8 ","2.3 ","0.4 ","22.0 ","14.8 ","31.7 ","30.9 ","18.0 ","19.7 ","2.3 ","3.2 ","47.4 ","45.4 ","3.2 ","3.0 ","6.8 ","6.3 ","14.5 ","14.6 ","2019","08 "
"4","11.8 ","8.7 ","15.4 ","10.7 ","8.2 ","6.8 ","2.6 ","0.4 ","20.6 ","16.6 ","30.0 ","29.4 ","19.0 ","20.5 ","2.6 ","3.1 ","47.6 ","45.4 ","3.6 ","3.2 ","8.0 ","7.4 ","14.4 ","14.6 ","2019","07 "
"5","12.7 ","11.6 ","16.2 ","14.3 ","9.3 ","8.9 ","1.2 ","1.7 ","11.2 ","14.0 ","31.2 ","31.3 ","20.4 ","20.6 ","2.5 ","1.7 ","45.1 ","46.0 ","3.3 ","3.4 ","8.3 ","8.8 ","14.1 ","14.6 ","2019","06 "
"6","13.5 ","12.2 ","19.6 ","17.1 ","7.5 ","7.4 ","2.2 ","3.5 ","9.0 ","12.7 ","32.0 ","31.7 ","20.4 ","21.0 ","2.8 ","2.0 ","42.8 ","43.5 ","3.2 ","3.4 ","7.9 ","9.2 ","15.3 ","15.5 ","2019","05 "
"7","13.2 ","11.6 ","19.4 ","17.2 ","7.0 ","6.0 ","3.0 ","3.0 ","8.3 ","16.7 ","31.3 ","31.2 ","22.0 ","22.1 ","2.7 ","1.0 ","43.6 ","44.2 ","3.5 ","3.5 ","9.1 ","9.2 ","15.6 ","15.4 ","2019","04 "
"8","10.8 ","10.6 ","15.4 ","15.7 ","6.1 ","5.6 ","1.6 ","2.2 ","9.2 ","16.5 ","32.9 ","32.8 ","22.4 ","21.8 ","5.3 ","3.1 ","37.7 ","40.6 ","2.2 ","2.5 ","9.0 ","9.2 ","14.6 ","15.1 ","2019","03 "
"9","11.0 ","11.4 ","16.5 ","18.6 ","5.6 ","4.2 ","7.4 ","7.1 ","15.3 ","14.7 ","32.0 ","31.2 ","22.9 ","22.8 ","7.3 ","4.9 ","38.4 ","40.9 ","2.1 ","2.6 ","8.4 ","8.9 ","13.4 ","13.8 ","2019","02 "
"10","6.5 ","6.2 ","9.9 ","11.7 ","3.1 ","0.7 ","6.3 ","3.9 ","17.3 ","10.3 ","32.3 ","31.6 ","25.0 ","24.5 ","5.3 ","4.4 ","38.8 ","40.5 ","2.3 ","2.6 ","8.3 ","8.6 ","15.0 ","15.2 ","2019","01 "
