"","PNUM_F_CC111_NSA_I10","PNUM_F_CC111_NSA_I15","PNUM_F_CC111_NSA_PCH_SM","PNUM_F_CC111_SCA_I10","PNUM_F_CC111_SCA_I15","PNUM_F_CC111_SCA_PCH_PRE","PNUM_F_CC112_NSA_I10","PNUM_F_CC112_NSA_I15","PNUM_F_CC112_NSA_PCH_SM","PNUM_F_CC112_SCA_I10","PNUM_F_CC112_SCA_I15","PNUM_F_CC112_SCA_PCH_PRE","PNUM_F_CC11_X_CC113_NSA_I10","PNUM_F_CC11_X_CC113_NSA_I15","PNUM_F_CC11_X_CC113_NSA_PCH_SM","PNUM_F_CC11_X_CC113_SCA_I10","PNUM_F_CC11_X_CC113_SCA_I15","PNUM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC1_NSA_I10","PSQM_F_CC1_NSA_I15","PSQM_F_CC1_NSA_PCH_SM","PSQM_F_CC1_SCA_I10","PSQM_F_CC1_SCA_I15","PSQM_F_CC1_SCA_PCH_PRE","PSQM_F_CC11_NSA_I10","PSQM_F_CC11_NSA_I15","PSQM_F_CC11_NSA_PCH_SM","PSQM_F_CC11_SCA_I10","PSQM_F_CC11_SCA_I15","PSQM_F_CC11_SCA_PCH_PRE","PSQM_F_CC111_NSA_I10","PSQM_F_CC111_NSA_I15","PSQM_F_CC111_NSA_PCH_SM","PSQM_F_CC111_SCA_I10","PSQM_F_CC111_SCA_I15","PSQM_F_CC111_SCA_PCH_PRE","PSQM_F_CC112_NSA_I10","PSQM_F_CC112_NSA_I15","PSQM_F_CC112_NSA_PCH_SM","PSQM_F_CC112_SCA_I10","PSQM_F_CC112_SCA_I15","PSQM_F_CC112_SCA_PCH_PRE","PSQM_F_CC113_NSA_I15","PSQM_F_CC113_NSA_PCH_SM","PSQM_F_CC113_SCA_I15","PSQM_F_CC113_SCA_PCH_PRE","PSQM_F_CC11_X_CC113_NSA_I10","PSQM_F_CC11_X_CC113_NSA_I15","PSQM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC11_X_CC113_SCA_I10","PSQM_F_CC11_X_CC113_SCA_I15","PSQM_F_CC11_X_CC113_SCA_PCH_PRE","PSQM_F_CC12_NSA_I10","PSQM_F_CC12_NSA_I15","PSQM_F_CC12_NSA_PCH_SM","PSQM_F_CC12_SCA_I10","PSQM_F_CC12_SCA_I15","PSQM_F_CC12_SCA_PCH_PRE","PSQM_F_CC122_NSA_I10","PSQM_F_CC122_NSA_I15","PSQM_F_CC122_NSA_PCH_SM","PSQM_F_CC122_SCA_I10","PSQM_F_CC122_SCA_I15","PSQM_F_CC122_SCA_PCH_PRE","PSQM_F_CC12_X_CC122_NSA_I10","PSQM_F_CC12_X_CC122_NSA_I15","PSQM_F_CC12_X_CC122_NSA_PCH_SM","PSQM_F_CC12_X_CC122_SCA_I10","PSQM_F_CC12_X_CC122_SCA_I15","PSQM_F_CC12_X_CC122_SCA_PCH_PRE","YEAR","MONTH"
"1",": ","123.9 ","5.6 ",": ","114.1 s","2.2 s",": ","113.7 ","-17.7 ",": ","101.2 s","1.8 s",": ","118.2 ","-8.3 ",": ","107.5 s","2.7 s",": ","116.9 ","-10.1 ",": ","106.0 s","4.8 s",": ","121.0 ","-6.8 ",": ","110.6 s","2.4 s",": ","125.3 ","6.6 ",": ","114.6 s","2.3 s",": ","115.6 ","-17.8 ",": ","101.2 s","0.0 s","114.8 ","-39.5 ","102.9 s","-21.0 s",": ","121.2 ","-4.7 ",": ","108.5 s","0.3 s",": ","113.0 ","-13.3 ",": ","103.8 s","8.6 s",": ","147.6 ","-16.1 ",": ","124.5 s","-15.4 s",": ","108.4 ","-12.7 ",": ","100.8 s","13.6 s","2019","09 "
"2",": ","99.3 ","8.9 ",": ","111.6 s","-3.3 s",": ","80.7 ","-20.0 ",": ","99.4 s","-11.2 s",": ","89.0 ","-7.9 ",": ","104.7 s","-7.8 s",": ","91.3 ","-7.4 ",": ","101.1 s","-20.3 s",": ","93.2 ","-6.5 ",": ","108.0 s","-5.6 s",": ","99.4 ","6.5 ",": ","112.0 s","-3.2 s",": ","82.6 ","-19.2 ",": ","101.2 s","-10.1 s","111.5 ","-31.1 ","130.3 s","50.6 s",": ","92.4 ","-4.7 ",": ","108.2 s","-6.5 s",": ","89.4 ","-8.4 ",": ","95.6 s","-29.0 s",": ","131.5 ","28.3 ",": ","147.1 s","-2.5 s",": ","83.8 ","-13.5 ",": ","88.7 s","-33.1 s","2019","08 "
"3",": ","132.0 ","7.9 ",": ","115.4 s","9.8 s",": ","141.7 ","8.0 ",": ","111.9 s","-0.9 s",": ","137.4 ","7.9 ",": ","113.6 s","3.7 s",": ","141.7 ","15.0 ",": ","126.8 s","15.8 s",": ","135.1 ","5.4 ",": ","114.4 s","3.2 s",": ","132.3 ","8.1 ",": ","115.7 s","9.9 s",": ","142.4 ","6.3 ",": ","112.6 s","0.5 s","104.8 ","-30.2 ","86.5 s","-33.2 s",": ","136.5 ","7.3 ",": ","115.7 s","6.7 s",": ","147.7 ","24.5 ",": ","134.6 s","18.6 s",": ","170.3 ","15.0 ",": ","150.8 s","2.0 s",": ","144.7 ","26.3 ",": ","132.5 s","22.1 s","2019","07 "
"4",": ","108.2 ","-4.1 ",": ","105.1 s","-6.4 s",": ","117.3 ","-5.0 ",": ","112.9 s","4.9 s",": ","113.2 ","-4.6 ",": ","109.5 s","0.3 s",": ","118.6 ","1.5 ",": ","109.5 s","-10.6 s",": ","114.2 ","-3.3 ",": ","110.8 s","-0.9 s",": ","109.4 ","-4.0 ",": ","105.3 s","-7.2 s",": ","118.0 ","-6.0 ",": ","112.0 s","3.3 s","142.7 ","37.7 ","129.5 s","30.2 s",": ","113.0 ","-4.8 ",": ","108.4 s","-2.8 s",": ","122.6 ","5.9 ",": ","113.5 s","-13.4 s",": ","147.2 ","35.8 ",": ","147.9 s","7.4 s",": ","119.3 ","2.1 ",": ","108.5 s","-16.7 s","2019","06 "
"5",": ","110.4 ","12.0 ",": ","112.3 s","2.3 s",": ","101.2 ","-17.5 ",": ","107.6 s","-6.4 s",": ","105.3 ","-6.1 ",": ","109.2 s","-2.7 s",": ","117.2 ","15.7 ",": ","122.5 s","6.2 s",": ","107.5 ","-3.5 ",": ","111.8 s","-2.0 s",": ","112.2 ","11.6 ",": ","113.5 s","2.3 s",": ","102.0 ","-17.3 ",": ","108.4 s","-7.2 s","96.3 ","-32.3 ","99.5 s","-20.5 s",": ","108.0 ","-1.8 ",": ","111.5 s","-1.7 s",": ","126.2 ","37.2 ",": ","131.1 s","14.3 s",": ","116.6 ","35.3 ",": ","137.7 s","2.0 s",": ","127.4 ","37.3 ",": ","130.3 s","16.1 s","2019","05 "
"6",": ","105.0 ","5.5 ",": ","109.8 s","1.3 s",": ","108.0 ","-0.6 ",": ","115.0 s","3.5 s",": ","106.7 ","2.0 ",": ","112.2 s","1.5 s",": ","104.6 ","8.7 ",": ","115.4 s","5.2 s",": ","107.5 ","4.4 ",": ","114.1 s","3.2 s",": ","105.9 ","5.1 ",": ","111.0 s","1.2 s",": ","109.3 ","0.1 ",": ","116.8 s","4.8 s","111.1 ","49.5 ","125.2 s","22.5 s",": ","107.3 ","2.9 ",": ","113.4 s","3.1 s",": ","101.9 ","13.5 ",": ","114.7 s","2.0 s",": ","122.6 ","24.6 ",": ","135.0 s","-6.0 s",": ","99.1 ","11.7 ",": ","112.2 s","3.6 s","2019","04 "
"7",": ","109.3 ","-6.7 ",": ","108.4 s","1.8 s",": ","114.2 ","-8.2 ",": ","111.1 s","12.7 s",": ","112.0 ","-7.6 ",": ","110.5 s","8.9 s",": ","114.7 ","-5.5 ",": ","109.7 s","-5.8 s",": ","112.8 ","-5.2 ",": ","110.6 s","7.2 s",": ","111.2 ","-5.0 ",": ","109.7 s","0.2 s",": ","115.5 ","-7.9 ",": ","111.5 s","10.4 s","109.7 ","30.9 ","102.2 s","-4.0 s",": ","113.0 ","-6.2 ",": ","110.0 s","3.5 s",": ","116.5 ","-5.7 ",": ","112.4 s","-12.1 s",": ","142.4 ","-15.7 ",": ","143.6 s","15.9 s",": ","113.0 ","-3.8 ",": ","108.3 s","-15.7 s","2019","03 "
"8",": ","103.6 ","-7.3 ",": ","106.5 s","-0.9 s",": ","81.7 ","-27.3 ",": ","98.6 s","-9.4 s",": ","91.4 ","-18.5 ",": ","101.5 s","-5.0 s",": ","107.7 ","1.3 ",": ","116.5 s","-3.6 s",": ","95.8 ","-14.5 ",": ","103.2 s","-2.8 s",": ","105.1 ","-6.1 ",": ","109.5 s","2.1 s",": ","83.8 ","-26.5 ",": ","101.0 s","-8.8 s","87.2 ","-8.9 ","106.5 s","5.4 s",": ","96.2 ","-14.7 ",": ","106.3 s","-1.5 s",": ","118.6 ","17.5 ",": ","127.8 s","-2.0 s",": ","111.9 ","-12.9 ",": ","123.9 s","-11.1 s",": ","119.5 ","22.8 ",": ","128.4 s","-0.8 s","2019","02 "
"9",": ","111.1 ","-10.1 ",": ","107.5 s","-1.8 s",": ","89.2 ","1.6 ",": ","108.8 s","3.5 s",": ","98.9 ","-4.5 ",": ","106.8 s","-0.9 s",": ","113.6 ","1.2 ",": ","120.9 s","10.7 s",": ","101.5 ","-5.3 ",": ","106.2 s","-2.6 s",": ","112.4 ","-8.5 ",": ","107.3 s","-2.5 s",": ","89.6 ","0.6 ",": ","110.8 s","3.2 s","69.0 ","-4.0 ","101.0 s","-3.3 s",": ","102.9 ","-5.4 ",": ","107.9 s","-0.6 s",": ","124.8 ","6.7 ",": ","130.4 s","15.0 s",": ","128.9 ","-8.8 ",": ","139.3 s","7.2 s",": ","124.3 ","9.3 ",": ","129.5 s","16.6 s","2019","01 "
"10",": ","107.5 ","-13.3 ",": ","109.5 s","-0.6 s",": ","115.4 ","-18.0 ",": ","105.1 s","1.2 s",": ","111.9 ","-16.1 ",": ","107.8 s","1.0 s",": ","109.2 ","-6.9 ",": ","109.2 s","-4.4 s",": ","112.3 ","-13.4 ",": ","109.0 s","-0.4 s",": ","107.3 ","-12.6 ",": ","110.1 s","-1.3 s",": ","118.3 ","-16.6 ",": ","107.4 s","-0.6 s","121.2 ","12.2 ","104.4 s","-20.3 s",": ","111.9 ","-14.4 ",": ","108.5 s","-1.7 s",": ","106.3 ","0.6 ",": ","113.4 s","-2.4 s",": ","139.1 ","1.8 ",": ","129.9 s","0.0 s",": ","101.9 ","0.3 ",": ","111.1 s","-2.7 s","2018","12 "
