"","RT1-SCA_F_IS-IP","RT1-SCA_F_CC1_IS-IP","RT1-SCA_F_CC1_IS-PEI","RT1-SCA_F_CC11_IS-PEI","RT1-SCA_F_CC11_X_CC113_IS-PEI","RT1-SCA_F_CC2_IS-IP","RT12-CA_F_IS-IP","RT12-CA_F_CC1_IS-IP","RT12-CA_F_CC2_IS-IP","RT12-NSA_F_CC1_IS-PEI","RT12-NSA_F_CC11_IS-PEI","RT12-NSA_F_CC11_X_CC113_IS-PEI","YEAR","MONTH"
"1",": ",": ","4.8 s","2.4 s","0.3 s",": ",": ",": ",": ","-10.1 ","-6.8 ","-4.7 ","2019","09 "
"2","0.3 ","1.5 ","-20.3 s","-5.6 s","-6.5 s","-4.1 ","-0.9 ","0.2 ","-4.7 ","-7.4 ","-6.5 ","-4.7 ","2019","08 "
"3","-2.8 ","-3.7 ","15.8 s","3.2 s","6.7 s","0.7 ","-0.9 ","-1.5 ","1.2 ","15.0 ","5.4 ","7.3 ","2019","07 "
"4","0.9 ","1.3 ","-10.6 s","-0.9 s","-2.8 s","-0.5 ","2.0 ","2.1 ","1.6 ","1.5 ","-3.3 ","-4.8 ","2019","06 "
"5","2.1 ","2.3 ","6.2 s","-2.0 s","-1.7 s","0.8 ","4.4 ","3.5 ","7.8 ","15.7 ","-3.5 ","-1.8 ","2019","05 "
"6","-4.7 ","-4.9 ","5.2 s","3.2 s","3.1 s","-3.6 ","-2.0 ","-3.3 ","3.2 ","8.7 ","4.4 ","2.9 ","2019","04 "
"7","0.6 ","0.5 ","-5.8 s","7.2 s","3.5 s","1.2 ","7.7 ","6.8 ","11.6 ","-5.5 ","-5.2 ","-6.2 ","2019","03 "
"8","4.7 ","4.3 ","-3.6 s","-2.8 s","-1.5 s","6.3 ","4.9 ","3.5 ","12.1 ","1.3 ","-14.5 ","-14.7 ","2019","02 "
"9","-3.9 ","-3.6 ","10.7 s","-2.6 s","-0.6 s","-5.2 ","0.7 ","0.1 ","3.2 ","1.2 ","-5.3 ","-5.4 ","2019","01 "
"10","3.2 ","2.3 ","-4.4 s","-0.4 s","-1.7 s","7.6 ","-0.3 ","-1.3 ","4.2 ","-6.9 ","-13.4 ","-14.4 ","2018","12 "
"11","1.2 ","2.7 ","1.7 s","-4.3 s","-6.6 s","-5.0 ","0.3 ","1.1 ","-2.9 ","-2.3 ","-2.2 ","-2.4 ","2018","11 "
"12","-4.4 ","-5.3 ","-5.7 s","-6.8 s","0.5 s","-0.6 ","-1.5 ","-2.5 ","2.3 ","-5.1 ","2.0 ","5.2 ","2018","10 "
"13","3.0 ","3.8 ","10.1 s","9.7 s","7.4 s","0.1 ","4.1 ","3.9 ","5.0 ","-3.1 ","-8.5 ","-8.4 ","2018","09 "
"14","-0.1 ","-0.2 ","-0.4 s","-0.3 s","-0.3 s","-0.2 ","0.2 ","-1.1 ","4.9 ","-19.4 ","-7.5 ","-11.4 ","2018","08 "
"15","-0.1 ","-0.5 ","0.7 s","1.1 s","-1.0 s","1.6 ","-0.5 ","-1.8 ","4.9 ","-6.0 ","-10.3 ","-11.4 ","2018","07 "
"16","3.4 ","2.9 ","0.8 s","-4.3 s","-2.4 s","5.6 ","1.7 ","1.4 ","3.2 ","-6.9 ","-11.9 ","-11.4 ","2018","06 "
"17","-4.3 ","-4.5 ","-0.1 s","2.5 s","0.0 s","-3.4 ","-4.6 ","-4.5 ","-4.5 ","-11.5 ","-6.3 ","-7.9 ","2018","05 "
"18","4.8 ","4.9 ","-8.0 s","0.3 s","-0.6 s","4.7 ","0.2 ","0.4 ","-0.1 ","-1.2 ","1.3 ","1.7 ","2018","04 "
"19","-2.3 ","-3.0 ","1.0 s","-6.5 s","-6.9 s","0.6 ","-3.0 ","-2.6 ","-4.3 ","-4.6 ","-13.4 ","-11.3 ","2018","03 "
"20","0.8 ","1.5 ","-3.9 s","7.6 s","8.1 s","-2.0 ","-1.0 ","0.2 ","-7.0 ","9.4 ","7.1 ","8.8 ","2018","02 "
"21","-5.4 ","-5.5 ","2.3 s","-11.0 s","-10.8 s","-4.9 ","-0.5 ","-0.7 ","1.1 ","11.5 ","1.5 ","1.1 ","2018","01 "
"22","4.2 ","5.1 ","0.4 s","12.8 s","13.0 s","0.8 ","6.9 ","7.1 ","4.6 ","0.3 ","0.8 ","2.1 ","2017","12 "
"23","-0.4 ","-0.7 ","-1.9 s","-3.6 s","-2.2 s","0.8 ","0.0 ","-0.3 ","0.7 ","1.0 ","-9.0 ","-9.2 ","2017","11 "
"24","0.9 ","0.6 ","-3.4 s","-10.9 s","-8.8 s","2.0 ","0.6 ","0.7 ","0.5 ","10.2 ","4.9 ","3.6 ","2017","10 "
"25","-1.2 ","-1.1 ","-6.4 s","7.7 s","3.7 s","-1.2 ","0.9 ","2.4 ","-3.5 ","2.4 ","0.2 ","-1.0 ","2017","09 "
"26","-0.2 ","-0.5 ","12.8 s","-6.6 s","-5.9 s","0.6 ","0.3 ","1.5 ","-1.7 ","11.6 ","4.8 ","5.6 ","2017","08 "
"27","1.6 ","2.0 ","0.4 s","6.2 s","5.4 s","0.3 ","2.8 ","3.5 ","0.7 ","19.1 ","15.9 ","18.0 ","2017","07 "
"28","-2.6 ","-2.7 ","-3.3 s","-1.6 s","-0.3 s","-2.2 ","2.9 ","3.9 ","-0.6 ","6.6 ","9.6 ","9.4 ","2017","06 "
"29","0.4 ","0.2 ","11.2 s","7.4 s","7.0 s","1.0 ","4.8 ","5.4 ","1.5 ","15.0 ","10.2 ","11.1 ","2017","05 "
"30","1.4 ","1.7 ","-11.5 s","-8.5 s","-9.0 s","0.0 ","6.5 ","7.9 ","1.4 ","-8.4 ","-1.8 ","0.2 ","2017","04 "
"31","-0.9 ","-0.7 ","15.0 s","12.0 s","11.4 s","-1.6 ","6.0 ","6.7 ","2.9 ","22.5 ","26.1 ","24.7 ","2017","03 "
"32","2.6 ","1.8 ","-2.1 s","-1.2 s","-1.4 s","6.3 ","7.4 ","7.1 ","7.0 ","-2.2 ","5.5 ","4.4 ","2017","02 "
"33","0.5 ","1.2 ","-7.0 s","-5.9 s","-5.3 s","-3.2 ","-4.0 ","-3.7 ","-8.7 ","5.3 ","15.0 ","15.7 ","2017","01 "
"34","-2.1 ","-2.1 ","0.9 s","-1.4 s","-0.8 s","-1.9 ","2.5 ","1.3 ","7.7 ","11.2 ","11.3 ","12.7 ","2016","12 "
"35","0.6 ","0.7 ","8.2 s","7.4 s","7.4 s","0.6 ","1.8 ","0.5 ","6.3 ","7.7 ","13.8 ","15.6 ","2016","11 "
"36","1.0 ","2.0 ","-11.1 s","-9.3 s","-8.7 s","-2.6 ","1.7 ","0.8 ","4.9 ","4.4 ","9.1 ","7.0 ","2016","10 "
"37","-1.0 ","-1.9 ","1.1 s","9.3 s","8.0 s","2.0 ","0.7 ","-2.2 ","11.0 ","18.1 ","25.4 ","25.0 ","2016","09 "
"38","1.7 ","1.7 ","23.9 s","3.1 s","7.4 s","1.7 ","6.9 ","5.7 ","10.3 ","24.0 ","16.9 ","15.9 ","2016","08 "
"39","1.3 ","2.0 ","-11.3 s","0.4 s","-3.1 s","-0.6 ","0.4 ","-1.8 ","8.2 ","-3.7 ","7.0 ","7.0 ","2016","07 "
"40","-0.7 ","-1.0 ","2.8 s","-4.3 s","-2.9 s","0.3 ","-1.6 ","-4.0 ","6.8 ","-2.3 ","6.3 ","7.9 ","2016","06 "
"41","2.1 ","2.4 ","-9.8 s","2.2 s","2.6 s","0.9 ","-2.4 ","-3.1 ","-0.2 ","14.9 ","32.4 ","30.0 ","2016","05 "
"42","0.9 ","0.6 ","18.2 s","13.7 s","12.0 s","1.7 ","-3.0 ","-5.2 ","5.0 ","15.4 ","12.6 ","10.3 ","2016","04 "
"43","-0.5 ","-1.2 ","-8.9 s","-5.2 s","-7.9 s","2.1 ","-6.0 ","-8.1 ","1.7 ","3.3 ","6.0 ","5.8 ","2016","03 "
"44","-7.2 ","-7.2 ","4.5 s","3.4 s","4.8 s","-7.1 ","-1.8 ","-1.9 ","-0.9 ","13.1 ","19.4 ","17.4 ","2016","02 "
"45","6.4 ","5.6 ","-1.2 s","-3.1 s","-1.2 s","9.4 ","1.7 ","1.7 ","1.4 ","18.0 ","4.4 ","4.0 ","2016","01 "
"46","-2.5 ","-2.8 ","-3.0 s","-5.4 s","-5.6 s","-1.2 ","-1.6 ","-1.8 ","-0.7 ","8.1 ","15.6 ","16.3 ","2015","12 "
"47","0.9 ","1.3 ","6.3 s","10.0 s","7.0 s","-0.5 ","2.7 ","2.9 ","2.0 ","29.1 ","29.5 ","25.3 ","2015","11 "
"48","0.0 ","-1.1 ","1.4 s","0.4 s","5.8 s","3.5 ","-0.6 ","-1.1 ","0.9 ","9.6 ","8.1 ","11.3 ","2015","10 "
"49","4.0 ","5.8 ","2.8 s","-4.1 s","-9.3 s","-2.1 ","-0.6 ","0.3 ","-3.7 ","2.8 ","7.8 ","6.8 ","2015","09 "
