"","I2015_NSA_IS-IP_F","I2015_NSA_IS-IP_F_CC1","I2015_NSA_IS-IP_F_CC2","I2015_NSA_IS-PEI_F_CC1","I2015_NSA_IS-PEI_F_CC11","I2015_NSA_IS-PEI_F_CC11_X_CC113","I2015_SCA_IS-IP_F","I2015_SCA_IS-IP_F_CC1","I2015_SCA_IS-IP_F_CC2","I2015_SCA_IS-PEI_F_CC1","I2015_SCA_IS-PEI_F_CC11","I2015_SCA_IS-PEI_F_CC11_X_CC113","YEAR","MONTH"
"1",": ",": ",": ","116.9 ","121.0 ","121.2 ",": ",": ",": ","106.0 s","110.6 s","108.5 s","2019","09 "
"2","63.4 ","60.7 ","74.2 ","91.3 ","93.2 ","92.4 ","102.4 ","101.3 ","106.2 ","101.1 s","108.0 s","108.2 s","2019","08 "
"3","112.0 ","107.4 ","130.1 ","141.7 ","135.1 ","136.5 ","102.1 ","99.8 ","110.7 ","126.8 s","114.4 s","115.7 s","2019","07 "
"4","112.0 ","110.4 ","117.6 ","118.6 ","114.2 ","113.0 ","105.0 ","103.6 ","109.9 ","109.5 s","110.8 s","108.4 s","2019","06 "
"5","106.4 ","104.8 ","111.8 ","117.2 ","107.5 ","108.0 ","104.1 ","102.3 ","110.5 ","122.5 s","111.8 s","111.5 s","2019","05 "
"6","105.1 ","102.6 ","114.4 ","104.6 ","107.5 ","107.3 ","102.0 ","100.0 ","109.6 ","115.4 s","114.1 s","113.4 s","2019","04 "
"7","108.2 ","106.4 ","114.8 ","114.7 ","112.8 ","113.0 ","107.0 ","105.2 ","113.7 ","109.7 s","110.6 s","110.0 s","2019","03 "
"8","111.5 ","112.7 ","105.4 ","107.7 ","95.8 ","96.2 ","106.4 ","104.7 ","112.3 ","116.5 s","103.2 s","106.3 s","2019","02 "
"9","93.7 ","95.4 ","85.7 ","113.6 ","101.5 ","102.9 ","101.6 ","100.4 ","105.6 ","120.9 s","106.2 s","107.9 s","2019","01 "
"10","89.4 ","89.1 ","90.0 ","109.2 ","112.3 ","111.9 ","105.7 ","104.2 ","111.4 ","109.2 s","109.0 s","108.5 s","2018","12 "
"11","112.6 ","111.6 ","115.6 ","105.5 ","99.6 ","98.5 ","102.4 ","101.9 ","103.5 ","114.2 s","109.4 s","110.4 s","2018","11 "
"12","115.2 ","111.3 ","130.7 ","123.5 ","125.2 ","127.1 ","101.2 ","99.2 ","109.0 ","112.3 s","114.3 s","118.2 s","2018","10 "
"13","110.6 ","108.7 ","117.3 ","130.1 ","129.8 ","127.2 ","105.9 ","104.7 ","109.7 ","119.1 s","122.7 s","117.6 s","2018","09 "
"14","66.0 ","62.2 ","81.4 ","98.6 ","99.7 ","97.0 ","102.8 ","100.9 ","109.6 ","108.2 s","111.8 s","109.5 s","2018","08 "
"15","112.3 ","109.0 ","125.1 ","123.2 ","128.2 ","127.2 ","102.9 ","101.1 ","109.8 ","108.6 s","112.1 s","109.8 s","2018","07 "
"16","113.5 ","111.1 ","122.5 ","116.9 ","118.1 ","118.7 ","103.0 ","101.6 ","108.1 ","107.8 s","110.9 s","110.9 s","2018","06 "
"17","99.2 ","98.6 ","100.4 ","101.3 ","111.4 ","110.0 ","99.6 ","98.7 ","102.4 ","106.9 s","115.9 s","113.6 s","2018","05 "
"18","104.9 ","104.0 ","107.5 ","96.2 ","103.0 ","104.3 ","104.1 ","103.4 ","106.0 ","107.0 s","113.1 s","113.6 s","2018","04 "
