
,données,"Nombre de logements autorisés individuels purs","Nombre de logements autorisés individuels groupés","Nombre de logements autorisés collectifs","Nombre de logements autorisés en résidence","Total nombre de logements","Surface en m² de logements autorisés individuels purs","Surface en m² de logements autorisés individuels groupés","Surface en m² de logements autorisés collectifs","Surface en m² de logements autorisés en résidence","Total surface en m²"
"Période","Zone Géo.",
"1994","Total France Métropolitaine",119634,35348,156188,4312,315482,16497798,3235946,9872826,174574,29781144
"1995","Total France Métropolitaine",110178,28152,133992,3389,275711,15217818,2609985,8760224,151072,26739099
"1996","Total France Métropolitaine",128045,29847,116547,3742,278181,17438013,2713486,7503719,163158,27818376
"1997","Total France Métropolitaine",131762,32332,119901,4158,288153,17933841,3031081,7999859,153479,29118260
"1998","Total France Métropolitaine",158060,44507,177639,10584,390790,21221284,4348927,12357728,411323,38339262
"1999","Total France Métropolitaine",172416,32404,93458,7119,305397,23024827,3193172,6833366,362117,33413482
"2000","Total France Métropolitaine",171080,35987,118431,11339,336837,23343430,3708426,8856352,566425,36474633
"2001","Total France Métropolitaine",164858,36500,113906,11783,327047,22635364,3761740,8558897,580541,35536542
"2002","Total France Métropolitaine",166197,38131,117238,10367,331933,22936653,3957125,8777486,520626,36191890
"2003","Total France Métropolitaine",174188,42967,138528,14436,370119,24073015,4412343,10161245,674570,39321173
"2004","Total France Métropolitaine",187349,53588,191025,20609,452571,25881918,5426289,13791985,956160,46056352
"2005","Total France Métropolitaine",195883,58820,215808,22485,492996,27118874,6031150,15448520,1122271,49720815
"2006","Total France Métropolitaine",197178,63278,239053,27083,526592,27438626,6415085,17266903,1323116,52443730
"2007","Total France Métropolitaine",188968,57087,207479,26363,479897,26249439,5939331,15021271,1467500,48677541
"2008","Total France Métropolitaine",150619,51455,161820,21070,384964,20528862,5118558,11595918,1120389,38363727
"2009","Total France Métropolitaine",121373,49498,134700,22926,328497,16054822,4762285,9730447,1202414,31749968
"2010","Total France Métropolitaine",152918,56892,180956,29067,419833,20155027,5407801,12554042,1411442,39528312
"2011","Total France Métropolitaine",151053,58967,218558,26516,455094,20187422,5671157,15226617,1317124,42402320
"2012","Total France Métropolitaine",134585,52047,199171,30637,416440,17266936,4889438,13742919,1526773,37426066
"2013","Total France Métropolitaine",114751,46429,175791,22358,359329,14196169,4223567,11626437,1043741,31089914
"2014","Total France Métropolitaine",99901,36249,162297,29106,327553,12294470,3284518,10514612,1225285,27318885
"2015","Total France Métropolitaine",106225,40236,187478,29597,363536,12990107,3575482,11936738,1260632,29762959
"2016","Total France Métropolitaine",120524,44494,228549,32105,425672,14571937,3970513,14404924,1486941,34434315
"2017","Total France Métropolitaine",133659,44131,243666,35076,456532,16104034,3958968,15377435,1668872,37109309
"2018","Total France Métropolitaine",117160,44683,227245,31096,420184,14219207,4059686,14681600,1478809,34439302
