nace_r2,indic_sb,geo\time	2015 	2012 	2009 
B,V15420,AT	1.0 	5.7 	4.5 
B,V15420,BE	0.7 	0.3 	: c
B,V15420,BG	35.2 	8.7 	7.2 
B,V15420,CY	0.0 	: c	0.0 
B,V15420,CZ	2.4 	2.4 	2.0 
B,V15420,DE	9.8 	5.0 	16.5 
B,V15420,EE	0.0 	0.0 	0.0 
B,V15420,EL	0.6 b	0.0 	3.1 
B,V15420,ES	10.6 	11.6 	27.4 
B,V15420,FI	0.1 	0.0 	0.0 
B,V15420,HR	0.3 	1.8 	18.5 
B,V15420,HU	129.8 	0.0 	0.0 
B,V15420,IE	0.8 	0.1 	0.0 
B,V15420,IT	0.1 	2.8 	23.8 
B,V15420,LT	0.4 	0.1 	0.0 
B,V15420,LU	0.1 	0.0 	0.0 
B,V15420,LV	0.1 	0.0 	0.1 
B,V15420,MT	: c	: c	: c
B,V15420,NL	21.4 	21.9 	13.6 
B,V15420,NO	1.8 	7.8 	566.0 
B,V15420,PL	: cd	: 	3.8 d
B,V15420,PT	0.1 	0.5 	1.0 
B,V15420,RO	60.1 	55.8 	110.7 p
B,V15420,SI	: c	0.0 	: c
B,V15420,SK	0.0 	0.2 	0.3 
B,V15420,UK	: c	56.2 	362.0 
B,V15441,AT	1.5 	1.5 	1.8 
B,V15441,BE	4.8 	7.4 	: c
B,V15441,BG	: c	0.5 	0.3 
B,V15441,CY	0.0 	: c	0.0 
B,V15441,CZ	2.5 	6.4 	2.3 
B,V15441,DE	17.2 	10.6 	12.4 
B,V15441,EE	0.0 	0.0 	0.1 
B,V15441,EL	0.3 b	0.3 	0.0 
B,V15441,ES	8.2 	0.8 	1.3 
B,V15441,FI	1.0 	1.1 	4.4 
B,V15441,HR	68.1 	3.6 	2.6 
B,V15441,HU	3.9 	4.9 	1.7 
B,V15441,IE	255.8 	0.0 	0.0 
B,V15441,IT	15.2 	7.0 	2.1 
B,V15441,LT	0.4 	0.1 	0.0 
B,V15441,LU	0.1 	0.0 	0.0 
B,V15441,LV	0.0 	0.0 	0.0 
B,V15441,MT	0.1 	: c	: c
B,V15441,NL	57.3 	45.2 	55.0 
B,V15441,NO	20.2 	48.5 	31.3 
