Year;trimestre;Femmes ;15-24 ans;25-49 ans;50 ans ou plus;Hommes;15-24 ans;25-49 ans;50 ans ou plus;Ensemble ;15-24 ans;25-49 ans;50 ans ou plus;Taux de ch“mage de longue dur‚e
1975;1;4,2;7,6;3,4;2,1;2,2;4,7;1,6;1,7;3;6;2,3;1,9;nd
1975;2;4,5;8,1;3,7;2,2;2,6;5,4;1,9;1,9;3,3;6,6;2,6;2;nd
1975;3;4,9;9;4;2,4;2,8;6;2,1;2;3,6;7,3;2,8;2,2;nd
1975;4;5,1;9,4;4,1;2,5;2,9;6;2,1;2,1;3,7;7,5;2,9;2,3;nd
1976;1;5,2;10;4,2;2,6;2,8;5,8;2,1;2,2;3,8;7,7;2,9;2,3;nd
1976;2;5,5;10,5;4,3;2,7;2,8;5,8;2;2,2;3,8;7,9;2,9;2,4;nd
1976;3;5,5;10,3;4,3;2,8;2,7;5,8;1,9;2,2;3,8;7,8;2,8;2,4;nd
1976;4;5,4;10,1;4,2;3;2,7;5,9;1,9;2,2;3,7;7,8;2,8;2,5;nd
1977;1;5,6;10,6;4,4;3,2;2,8;6,4;1,9;2,3;3,9;8,3;2,9;2,6;nd
1977;2;6;11,7;4,6;3,3;3,1;7,2;2,1;2,4;4,3;9,2;3,1;2,8;nd
1977;3;6,2;12,2;4,8;3,3;3,3;7,7;2,3;2,5;4,5;9,7;3,2;2,8;nd
1977;4;6;11,8;4,7;3,2;3,3;7,2;2,3;2,6;4,4;9,3;3,2;2,8;nd
1978;1;5,8;11,4;4,6;2,9;3,1;6,6;2,3;2,6;4,2;8,8;3,2;2,7;nd
1978;2;5,8;11,6;4,5;2,9;3,2;6,8;2,3;2,7;4,3;9;3,2;2,7;nd
1978;3;6,2;12,8;4,7;3,1;3,5;7,6;2,5;2,8;4,6;10;3,3;2,9;nd
1978;4;6,4;13,5;4,8;3,3;3,6;8;2,6;2,9;4,8;10,5;3,5;3;nd
1979;1;6,5;13,5;4,8;3,5;3,7;7,9;2,7;2,9;4,8;10,5;3,5;3,2;nd
1979;2;6,6;13,9;4,9;3,7;3,8;8;2,8;3;4,9;10,7;3,6;3,3;nd
1979;3;6,9;14,4;5;3,9;3,8;8,1;2,8;3;5;11;3,7;3,4;nd
1979;4;7,1;15,1;5,2;4,2;3,7;8,1;2,7;3;5,1;11,3;3,7;3,5;nd
1980;1;7,4;15,9;5,3;4,5;3,7;8,1;2,6;3;5,2;11,6;3,7;3,6;nd
1980;2;7,5;16,3;5,3;4,7;3,6;8,1;2,5;3;5,2;11,8;3,6;3,6;nd
1980;3;7,6;16,5;5,4;4,7;3,7;8,4;2,6;3;5,3;12;3,7;3,7;nd
1980;4;7,8;17;5,6;4,7;4;9;2,8;3,2;5,5;12,6;3,9;3,8;nd
1981;1;8,1;17,8;5,8;4,7;4,3;9,7;3,1;3,4;5,9;13,4;4,2;3,9;nd
